smiles,imageName,inchiKey
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccco1)c1ccco1,68.png,AZBSMPUUXDDOLI-UHFFFAOYSA-N
Fc1csc(n1)[C@]1(F)N=N1,69.png,AZBXYFYSDQYJMH-UHFFFAOYSA-N
SC#Cc1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C#CS,70.png,AZLDTFMVCQWKEN-UHFFFAOYSA-N
[O-][N+](=O)c1ccc(o1)c1cc2c3cc(c4ccc(o4)[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)[N+](=O)[O-])cc(c5ccc4)c1ccc(o1)[N+](=O)[O-],71.png,AZNYHNFPAAPVTC-UHFFFAOYSA-N
c1ccc2c(n1)c1ccc3c4c1c1c2c2cccnc2c2c1c1c4c(c4c3nccc4)c3c(c1c1c2cccc1)nccc3,72.png,AZQCZPHFKSFZPJ-UHFFFAOYSA-N
N#C/N=C\c1ccc(cc1)/N=N/c1ccc(cc1)/C=N/C#N,73.png,AZQLWKPFVGCQSP-XPZLCZKUSA-N
Clc1cnc(nc1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(cn1)Cl,74.png,BBXCFOJWLJKRRG-VHXPQNKSSA-N
Sc1ccc(nc1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(cn1)S,75.png,BCAIIJAFDBXREC-OCEACIFDSA-N
[O-][N+](=O)c1ccc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(o1)[N+](=O)[O-],76.png,BDEQXSJYGBXUJO-ISLYRVAYSA-N
FC(OC1=CC=C(S1(=O)=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C1=CC=C(S1(=O)=O)OC(F)(F)F)(F)F,77.png,BDEYIGWYOMXLBM-UHFFFAOYSA-N
FC(/N=C/c1ccc(o1)/N=N/c1ccc(o1)/C=N/C(F)(F)F)(F)F,78.png,BDYLORXWYMEOLC-VGKDXWHHSA-N
N#Cc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)C#N,79.png,BENYSEOCGASLPP-UHFFFAOYSA-N
c1ccc(nc1)[C@@H]1N=N1,80.png,BESIOADPVLCNLJ-UHFFFAOYSA-N
N#Cc1coc(n1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1occ(n1)C#N,81.png,BEXLDUTWEBQKRT-UHFFFAOYSA-N
FC(C1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)C(F)(F)F)(F)F,82.png,BFAPCIQLGNDZKX-OCEACIFDSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)Cl)c1occ(n1)Cl,83.png,BGXSTWHBPDARFO-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncccn1)c1ncccn1,84.png,BHBANTRZRBDFHW-UHFFFAOYSA-N
N#Cc1ccc(o1)c1cc2c3cc(c4ccc(o4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)C#N)cc(c5ccc4)c1ccc(o1)C#N,85.png,BHBUGJZRMCYZKK-UHFFFAOYSA-N
F/C=C/O/C=C\c1ccc(s1)/N=N\c1ccc(s1)/C=C\O/C=C/F,86.png,BHLMACSDDHWUBI-NURZGURASA-N
Cn1c(S)ccc1[C@]1(S)N=N1,87.png,BHSLUBYNQGBIIN-UHFFFAOYSA-N
Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)Cl)cc(c5ccc4)c1ccc(n1C)Cl,88.png,BINABOFLFPOZCD-UHFFFAOYSA-N
FC(OC#Cc1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C#COC(F)(F)F)(F)F,89.png,BINGZICMFAKCDM-UHFFFAOYSA-N
c1cnc2c(c1)c1ccc3c4c1c1c2c2ncccc2c2c1c1c4c(c4c3cccn4)c3c(c1cc2)cccn3,90.png,BIONICZAJIZQSA-UHFFFAOYSA-N
Fc1ccc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(s1)F,91.png,BISKDGONOUMNHM-FMQUCBEESA-N
ClC1=CC=C(S1(=O)=O)c1ccc(cc1)/N=N/c1ccc(cc1)C1=CC=C(S1(=O)=O)Cl,92.png,BIWUTHWQRWYTLG-WCWDXBQESA-N
[O-][N+](=O)c1ncc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1cnc([nH]1)[N+](=O)[O-],93.png,BJARRLODZKZMHZ-WCWDXBQESA-N
FC(Oc1csc(n1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1scc(n1)OC(F)(F)F)(F)F,94.png,BJCXXAHBHBOQAM-UHFFFAOYSA-N
Cl/C=C\c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=C/Cl,95.png,BJEZHFXVFAJIFG-VCFJNTAESA-N
Clc1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)Cl,96.png,BJIMJHQUCFZBNI-UHFFFAOYSA-N
[O-][N+](=O)/N=C/c1cc2c3cc(/C=N/[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/[N+](=O)[O-])cc(c5ccc4)/C=N/[N+](=O)[O-],97.png,BJNMHZQUZGMVFM-UHFFFAOYSA-N
FC(c1nnc(nn1)c1cc2c3cc(c4nnc(nn4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)C(F)(F)F)cc(c5ccc4)c1nnc(nn1)C(F)(F)F)(F)F,98.png,BJWKVXNGCKMTDR-UHFFFAOYSA-N
FC(Oc1ncc([nH]1)[C@@]1(N=N1)OC(F)(F)F)(F)F,99.png,BKDVNRQEULOUNV-UHFFFAOYSA-N
Clc1ccc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc([nH]1)Cl,100.png,BKEDHUNWAYXPGC-OCEACIFDSA-N
c1csc(c1)c1cc2c3cc(c4cccs4)c4c5c3c(c3c2c2c1cccc2c(c3)c1cccs1)cc(c5ccc4)c1cccs1,101.png,BKHOJTLFEMDGBD-UHFFFAOYSA-N
N#Cc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)C#N,102.png,BKZHFOYOTLVQHE-WCWDXBQESA-N
Cc1ccc(n1C)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(n1C)C,103.png,BLDMYIZAXMACJZ-OCEACIFDSA-N
c1ccc2c(c1)c1c3c4c2c2c(c5c4c4c6c3c(c3c1c1ccccc1[nH]3)c1[nH]c3c(c1c6c1c(c4c4c5[nH]c5c4cccc5)cccc1)cccc3)[nH]c1c2cccc1,104.png,BLJHTKPHOPJQQK-UHFFFAOYSA-N
Fc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)F,105.png,BLJXHHDAFQXEEU-UHFFFAOYSA-N
n1cnnc(n1)c1ccc(o1)/N=N/c1ccc(o1)c1nncnn1,106.png,BNPZTATZVAUXTB-ISLYRVAYSA-N
Sc1cnc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ncc(s1)S,107.png,BNYRCTWYHQXEKB-ISLYRVAYSA-N
[O-][N+](=O)/N=C/c1ccc(cc1)/N=N/c1ccc(cc1)/C=N\[N+](=O)[O-],108.png,BPDSIYOZJCFOKR-YODPDAALSA-N
Cc1cnc(nc1)[C@]1(C)N=N1,109.png,BQPNWYIZAOQKMY-UHFFFAOYSA-N
Cc1ncc([nH]1)c1cc2c3cc(c4cnc([nH]4)C)c4c5c3c(c3c2c2c1cccc2c(c3)c1cnc([nH]1)C)cc(c5ccc4)c1cnc([nH]1)C,110.png,BQTWENUTYIJGOX-UHFFFAOYSA-N
C/N=C\c1ccc(o1)/N=N/c1ccc(o1)/C=N\C,111.png,BSCMALNKZHTFND-RSQYGXQASA-N
Clc1nnc(nn1)c1ccc(o1)/N=N/c1ccc(o1)c1nnc(nn1)Cl,112.png,BTMRGPHTEXTYNA-FOCLMDBBSA-N
CC#Cc1ccc(o1)/N=N/c1ccc(o1)C#CC,113.png,BVBWGQQLKITHLL-FOCLMDBBSA-N
FC(c1ccc(cc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cc1)C(F)(F)F)(F)F,114.png,BVKHYHXARAVAMP-UHFFFAOYSA-N
N#Cc1cnc(nc1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ncc(cn1)C#N,115.png,BVXNHAFCAIKWJO-QVIHXGFCSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ccc(s1)F)c1ccc(s1)F,116.png,BWCZPPRYTXEPCG-UHFFFAOYSA-N
Sc1cnc(s1)c1cc2c3cc(c4ncc(s4)S)c4c5c3c(c3c2c2c1cccc2c(c3)c1ncc(s1)S)cc(c5ccc4)c1ncc(s1)S,117.png,BWIPMMVDQWPABW-UHFFFAOYSA-N
N#CC#C[C@]1(C#N)N=N1,118.png,BXNYECZHWNLIPS-UHFFFAOYSA-N
Sc1ccc(nc1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(cn1)S,119.png,BYCCZHWWRXPEOH-UHFFFAOYSA-N
Fc1ccc(o1)[C@]1(F)N=N1,120.png,BZBSDVNUGKYWLX-UHFFFAOYSA-N
Fc1nnc(nn1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1nnc(nn1)F,121.png,BZFPGDMVRFZXMG-UHFFFAOYSA-N
c1ccc2c(c1)c1c3c4c2ccc2c4c4c5c3c(c3c1cccc3)c1c(c5c3c(c4c4c2cccc4)cccc3)cccc1,122.png,BZNNCHRPFSFNBP-UHFFFAOYSA-N
FC(Oc1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)OC(F)(F)F)(F)F,123.png,BZPUOXCCQGIOEV-UHFFFAOYSA-N
S/C=C/[C@]1(S)N=N1,124.png,CAFKTMYBPSXEGJ-UHFFFAOYSA-N
Clc1c[nH]c(c1)[C@]1(Cl)N=N1,125.png,CAHFMHPGCFETPL-UHFFFAOYSA-N
Cn1c(ccc1c1cc2c3cc(c4ccc(n4C)OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)OC(F)(F)F)cc(c5ccc4)c1ccc(n1C)OC(F)(F)F)OC(F)(F)F,126.png,CANOMQQSAVILIN-UHFFFAOYSA-N
FC(C1=CC=C(S1(=O)=O)[C@@]1(N=N1)C(F)(F)F)(F)F,127.png,CBDYBLAQSSFLSE-UHFFFAOYSA-N
Sc1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)S,128.png,CBHPPIJPCRTIHM-UHFFFAOYSA-N
FC(c1ccc(o1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc(o1)C(F)(F)F)(F)F,129.png,CBOGOZSCLHQWAE-QVIHXGFCSA-N
Sc1ccc(cc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(cc1)S,130.png,CBUIEVKAMJGIPP-UHFFFAOYSA-N
ClC1=CC=C(S1(=O)=O)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1C1=CC=C(S1(=O)=O)Cl,131.png,CDBOHLQHVOIZHL-UHFFFAOYSA-N
c1coc(c1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccco1,132.png,CDLWLRHRMNWTMU-QURGRASLSA-N
