smiles,imageName,inchiKey
Cn1c(S)ccc1[C@]1(S)N=N1,131.png,BHSLUBYNQGBIIN-UHFFFAOYSA-N
N#Cc1ccc(cc1)C#N,132.png,BHXFKXOIODIUJO-UHFFFAOYSA-N
Clc1cnc(o1)c1ccc(s1)/N=N/c1ccc(s1)c1ncc(o1)Cl,133.png,BIARINBFOMALTI-FMQUCBEESA-N
Clc1cnc(o1)c1ccc(s1)/N=N\c1ccc(s1)c1ncc(o1)Cl,134.png,BIARINBFOMALTI-VXPUYCOJSA-N
N#CC#Cc1cc(C#N)cc(c1C#N)C#CC#N,135.png,BICVEIWRKBPNNS-UHFFFAOYSA-N
N#Cc1c(cc(cc1c1ccc(n1C=O)[N+](=O)[O-])C#N)c1ccc(n1C=O)[N+](=O)[O-],136.png,BIJXVFVNOXNEHK-UHFFFAOYSA-N
Cn1c(Cl)ccc1c1cc2c3cc(c4ccc(n4C)Cl)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C)Cl)cc(c5ccc4)c1ccc(n1C)Cl,137.png,BINABOFLFPOZCD-UHFFFAOYSA-N
Fc1ccc(s1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(s1)F,138.png,BISKDGONOUMNHM-FMQUCBEESA-N
ClC1=CC=C(S1(=O)=O)c1ccc(cc1)/N=N\c1ccc(cc1)C1=CC=C(S1(=O)=O)Cl,139.png,BIWUTHWQRWYTLG-VHXPQNKSSA-N
[O-][N+](=O)c1ncc([nH]1)c1ccc(cc1)/N=N\c1ccc(cc1)c1cnc([nH]1)[N+](=O)[O-],140.png,BJARRLODZKZMHZ-VHXPQNKSSA-N
Cl/C=C\c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1/C=C/Cl,141.png,BJEZHFXVFAJIFG-VCFJNTAESA-N
Clc1ccc([nH]1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc([nH]1)Cl,142.png,BJIMJHQUCFZBNI-UHFFFAOYSA-N
[O-][N+](=O)/N=C/c1cc2c3cc(/C=N/[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)/C=N/[N+](=O)[O-])cc(c5ccc4)/C=N/[N+](=O)[O-],143.png,BJNMHZQUZGMVFM-UHFFFAOYSA-N
FC(c1nnc(nn1)c1cc2c3cc(c4nnc(nn4)C(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1nnc(nn1)C(F)(F)F)cc(c5ccc4)c1nnc(nn1)C(F)(F)F)(F)F,144.png,BJWKVXNGCKMTDR-UHFFFAOYSA-N
